date,state_code
2020-05-03,ks
2020-05-03,ky
2020-05-03,la
2020-05-03,ma
2020-05-03,md
2020-05-03,me
2020-05-03,mi
2020-05-03,mn
2020-05-03,mo
2020-05-03,ms
2020-05-03,mt
2020-05-03,nc
2020-05-03,nd
2020-05-03,ne
2020-05-03,nh
2020-05-03,nj
2020-05-03,nm
2020-05-03,nv
2020-05-03,ny
2020-05-03,oh
2020-05-03,ok
2020-05-03,or
2020-05-03,pa
2020-05-03,ri
2020-05-03,sc
2020-05-03,sd
2020-05-03,tn
2020-05-03,tx
2020-05-03,ut
2020-05-03,va
2020-05-03,vt
2020-05-03,wa
2020-05-03,wi
2020-05-03,wv
2020-05-03,wy
2020-05-04,ak
2020-05-04,al
2020-05-04,ar
2020-05-04,az
2020-05-04,ca
2020-05-04,co
2020-05-04,ct
2020-05-04,dc
2020-05-04,de
2020-05-04,fl
2020-05-04,ga
2020-05-04,hi
2020-05-04,ia
2020-05-04,id
2020-05-04,il
2020-05-04,in
2020-05-04,ks
2020-05-04,ky
2020-05-04,la
2020-05-04,ma
2020-05-04,md
